CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"10,500.00","1,950",0.65,0.90,"2,200",-1.05,0.65,134.39,994,-159,951,
,270,-,2,145.42,"6,875.00",295.00,150,"6,757.55","6,969.50",300,"11,000.00",350,0.80,0.90,200,-0.75,0.95,127.38,"2,508",174,909,
,5,-,-,-,"5,113.35",-,50,"6,323.95","6,371.25",300,"11,500.00",250,0.75,0.95,"2,700",-1.05,0.75,114.11,75,4,47,
,52,-,-,-,"5,310.00",-,100,"5,820.00","5,864.35",100,"12,000.00","2,400",0.80,0.95,"1,200",-0.80,0.80,104.40,"1,137",-106,"1,195",
,1,-,-,-,"4,845.55",-,100,"5,322.45","5,364.60",400,"12,500.00",50,0.95,1.05,250,-0.90,1.05,96.77,"1,368",17,326,
,"7,188",-102,124,-,"4,872.55",35.60,150,"4,843.45","4,850.40",100,"13,000.00","2,750",0.95,1.00,300,-1.00,0.95,86.14,"6,191","3,012","12,335",
,"1,121",-50,63,-,"4,365.00",29.85,100,"4,345.60","4,362.95",400,"13,500.00","6,850",0.80,1.00,"1,900",-0.95,0.80,75.50,"1,104",180,"2,894",
,"9,971",-459,596,-,"3,847.00",16.70,50,"3,840.90","3,849.90",100,"14,000.00","2,700",0.90,1.00,"7,300",-1.00,0.90,67.19,"5,346",991,"13,755",
,3,-,-,-,"2,466.60",-,50,"3,635.05","3,769.35",50,"14,150.00","2,450",0.90,1.15,50,-1.20,0.90,64.50,"2,855",253,337,
,176,-8,8,-,"3,647.70",8.10,100,"3,626.30","3,672.70",200,"14,200.00",800,0.95,1.10,"2,150",-1.15,0.95,63.94,"4,009",135,917,
,-,-,-,-,"2,660.00",-,50,"3,535.50","3,668.30",50,"14,250.00","2,100",0.65,1.70,50,-,-,-,-,-,-,
,30,-,1,107.43,"3,625.00",400.00,"1,000","3,484.60","3,616.75",50,"14,300.00","4,250",1.10,1.45,"2,600",-1.30,1.10,63.05,"3,413",123,390,
,-,-,-,-,-,-,50,"3,438.00","3,567.35",100,"14,350.00",50,1.05,1.95,50,-248.40,1.75,65.16,"2,664",10,10,
,39,-,-,-,"3,370.00",-,200,"3,409.50","3,517.00",250,"14,400.00","2,250",0.95,1.50,150,-1.45,0.95,60.38,119,-8,158,
,-,-,-,-,-,-,100,"3,343.55","3,465.25",50,"14,450.00","4,800",0.75,-,-,-,-,-,-,-,-,
,"6,472","-1,715","1,757",-,"3,355.00",32.10,50,"3,345.75","3,354.70",200,"14,500.00",750,1.15,1.20,900,-0.85,1.15,59.73,"10,538","-1,864","28,392",
,-,-,-,-,-,-,100,"3,244.65","3,365.75",50,"14,550.00","4,800",0.75,-,-,-,-,-,-,-,-,
,166,-1,4,-,"3,264.15",300.90,50,"3,230.80","3,258.95",50,"14,600.00","1,350",1.30,1.50,200,-1.00,1.30,58.66,538,-8,"2,361",
,103,-,73,65.20,"3,231.10",310.50,50,"3,164.65","3,269.90",50,"14,650.00",50,1.00,2.90,"1,000",-1.90,1.00,56.27,"1,398",-2,97,
,237,-,-,-,"2,997.85",-,50,"3,132.50","3,176.20",50,"14,700.00",50,1.20,1.60,50,-1.50,1.20,56.40,29,-7,765,
,-,-,-,-,-,-,100,"3,045.75","3,175.55",50,"14,750.00",50,1.15,3.85,"2,400",-,2.50,-,-,-,2,
,354,-2,2,67.83,"3,084.90",208.10,550,"3,031.25","3,064.15",50,"14,800.00",550,1.35,1.70,50,-0.85,1.50,55.90,377,50,"2,338",
,1,-,-,-,"2,350.00",-,100,"2,949.95","3,076.95",50,"14,850.00",50,1.15,-,-,-0.80,1.85,56.26,93,-30,19,
,402,-221,280,65.64,"2,985.00",284.95,50,"2,936.60","2,952.10",250,"14,900.00",900,1.40,1.55,"2,450",-0.20,1.55,54.29,"5,571",13,"1,134",
,-,-,-,-,-,-,100,"2,851.55","2,980.35",50,"14,950.00","2,250",1.15,1.95,"4,500",-6.35,1.15,51.75,"6,005",17,18,
,"6,015",-474,816,-,"2,850.00",6.75,350,"2,846.70","2,859.30",800,"15,000.00","6,150",1.45,1.55,50,-0.75,1.60,52.67,"22,217",-378,"28,929",
